user_id,event_type,timestamp,device,source
1,page_view,2026-05-28T06:16:02,mobile,referral
2,page_view,2026-05-18T21:46:47,desktop,organic
3,page_view,2026-03-26T19:20:42,mobile,organic
4,page_view,2026-03-21T21:26:20,mobile,email
5,page_view,2026-04-18T21:24:43,mobile,organic
6,page_view,2026-04-14T17:53:00,desktop,organic
6,add_to_cart,2026-04-14T17:56:00,desktop,organic
6,checkout_start,2026-04-14T17:59:00,desktop,organic
6,purchase,2026-04-14T18:02:00,desktop,organic
7,page_view,2026-02-24T16:30:50,mobile,paid_ads
8,page_view,2026-01-22T09:32:42,mobile,social
9,page_view,2026-03-02T21:19:14,desktop,organic
10,page_view,2026-05-02T19:54:49,mobile,organic
10,add_to_cart,2026-05-02T19:57:49,mobile,organic
11,page_view,2026-04-09T15:25:15,mobile,email
11,add_to_cart,2026-04-09T15:28:15,mobile,email
12,page_view,2026-01-28T13:14:11,desktop,social
13,page_view,2026-05-23T07:58:54,mobile,email
13,add_to_cart,2026-05-23T08:01:54,mobile,email
13,checkout_start,2026-05-23T08:04:54,mobile,email
13,purchase,2026-05-23T08:07:54,mobile,email
14,page_view,2026-06-06T23:57:32,desktop,referral
14,add_to_cart,2026-06-07T00:00:32,desktop,referral
15,page_view,2026-05-02T14:16:48,mobile,paid_ads
15,add_to_cart,2026-05-02T14:19:48,mobile,paid_ads
16,page_view,2026-06-10T07:17:28,mobile,social
16,add_to_cart,2026-06-10T07:20:28,mobile,social
16,checkout_start,2026-06-10T07:23:28,mobile,social
16,purchase,2026-06-10T07:26:28,mobile,social
17,page_view,2026-02-09T22:13:04,mobile,organic
18,page_view,2026-01-16T06:53:26,mobile,organic
18,add_to_cart,2026-01-16T06:56:26,mobile,organic
19,page_view,2026-05-28T12:30:00,mobile,referral
20,page_view,2026-04-18T17:47:47,mobile,organic
21,page_view,2026-02-26T08:27:31,mobile,email
21,add_to_cart,2026-02-26T08:30:31,mobile,email
21,checkout_start,2026-02-26T08:33:31,mobile,email
21,purchase,2026-02-26T08:36:31,mobile,email
22,page_view,2026-06-09T17:01:58,desktop,social
22,add_to_cart,2026-06-09T17:04:58,desktop,social
22,checkout_start,2026-06-09T17:07:58,desktop,social
22,purchase,2026-06-09T17:10:58,desktop,social
23,page_view,2026-03-08T12:20:13,mobile,social
24,page_view,2026-03-13T13:16:53,desktop,organic
24,add_to_cart,2026-03-13T13:19:53,desktop,organic
